x,y
1,096,230
1,432,934
1,350,583
12,221,552
9,591,530
9,491,176
13,061,074
6,411,932
151,324
5,361,755
172,432
4,281,035
12,601,646
687,284
641,593
12,861,698
430,171
8,251,350
66,34
3,001,454
1,519,993
12,571,145
254,861
1,387,359
789,16
9,161,725
1,501,853
19,371,085
1,253,854
851,435
1167,24
8,481,715
11,991,042
600,292
691,543
7,521,173
1,844,746
16,221,443
111,447
10,591,244
1,994,407
11,871,260
1,792,332
526,690
930,88
15,871,457
13,621,501
18,101,592
12,321,361
13,861,987
5,301,397
1,741,429
1,159,620
987,164
4,811,706
1227,69
9,861,345
583,957
389,170
1,817,889
13,621,142
954,272
356,762
1,470,510
178,800
685,46
15,641,458
4,961,421
540,721
1,225,206
15,241,544
122,424
231,737
9,543
1,195,457
1,739,203
6,721,701
8,951,630
126,768
246,957
1,614,992
14,861,605
1,173,862
1,257,285
15,641,727
118,733
836,335
19,071,964
1,037,213
12,581,506
608,665
1,221,996
1,148,547
1,042,904
13,921,631
19,121,874
15,231,972
1530,11
1,125,228
1911,1
1,291,231
9,051,840
1,766,947
888,892
10,331,230
658,434
8,621,013
661,418
1,275,462
8,321,400
1597,70
10,391,959
1,673,503
158,673
1,333,357
1,450,207
1,784,160
12,781,869
12,061,961
244,783
12,441,201
8,591,097
1,502,821
2,211,394
1,503,222
664,33
15,621,305
5,011,728
9,461,472
1,862,649
10,391,655
1,532,484
1,589,527
10,191,801
831,98
15,051,608
524,120
259,278
1,782,260
4,751,026
13,121,948
6,751,614
481,097
2,511,988
1,621,152
81,295
4,531,719
14,681,512
242,570
1,644,139
5,411,091
1,588,402
16,621,308
8,131,891
1327,75
7,821,326
578,407
1,820,257
1,631,249
1,921,415
1,086,578
17,671,341
104,758
1,531,766
1,708,862
18,811,523
125,670
6,751,076
1,852,997
10,981,039
57,125
3,951,571
15,041,540
1,487,560
8,131,186
16,931,891
176,66
305,249
455,397
6,321,207
405,715
11,101,433
6,781,967
946,349
1,481,426
723,683
1662,8
8,761,020
1205,21
11,981,331
19,941,308
18,221,824
1,934,191
1,294,108
4,021,543
7,981,356
92,519
494,63
389,947
15,741,974
13,621,257
1,118,803
128,262
11,501,194
3,851,098
896,187
5,341,582
4,081,646
1,038,407
4,761,992
2,091,795
13,041,567
113,417
4,471,617
1,184,195
4,931,759
12,401,970
1,634,290
426,496
18,551,783
1,837,624
499,641
426,8
847,71
941,638
1,823,665
9,341,158
17,801,849
1089,98
1,864,987
1,492,544
811,243
5,391,724
922,845
18,181,154
1,340,374
15,261,652
1,380,713
536,765
694,31
16,551,924
599,450
251,716
2,511,535
1,423,839
38,615
1,441,285
15,501,335
3,551,613
6,641,882
3,431,300
10,281,845
15,301,267
1,163,681
7,591,891
14,681,478
1,371,349
1,405,702
1,019,803
321,169
1586,79
10,221,709
324,805
897,394
369,446
6,531,052
15,381,707
1,409,117
1,101,484
8,051,070
107,118
1,678,950
821,708
1,111,779
10,861,887
13,351,540
73,854
259,386
21,816
1,233,307
14,801,593
1,658,928
19,001,095
229,474
1,251,724
281,862
731,513
2,321,675
1,351,654
18,441,738
1,683,510
686,839
512,500
15,591,087
847,772
17,801,036
1,579,884
1,296,368
15,151,490
10,681,916
4,471,916
256,35
11,241,580
3,451,971
8,611,936
1,033,317
16,641,401
17,291,365
79,890
121,380
11,671,166
18,421,050
11,961,267
5,691,852
9,071,767
4,821,309
1,923,942
1,098,943
84,789
614,572
251,350
9,781,048
1,971,186
1,363,531
6,961,038
1,963,712
9,351,124
1,898,657
6,831,259
2,331,258
1,628,537
9,831,814
180,848
1,650,141
15,291,400
16,561,565
770,154
11,861,782
11,581,819
4,691,627
17,271,292
1,800,294
14,891,330
16,731,449
6,831,933
1,661,726
19,311,820
1,954,183
6,041,629
1,494,243
359,356
9,641,640
1,172,222
1,290,758
12,971,946
4,061,900
17,701,011
1,941,147
918,409
10,991,530
18,861,868
14,641,559
1,805,842
600,788
739,342
528,160
5,681,345
17,761,481
19,001,021
1,530,667
1,577,876
1,374,754
749,839
15,021,078
475,352
15,001,884
18,831,629
544,583
406,473
271,856
558,923
1,281,826
10,001,585
829,863
13,781,039
19,531,205
16,721,601
8,351,401
12,551,433
17,751,453
1,336,185
497,989
16,311,932
286,33
2,311,620
172,686
3,361,623
6,231,526
121,538
193,939
1,736,437
6,431,070
17,511,413
6,031,462
1,525,253
4,001,515
2,601,801
19,861,831
176,258
18,381,599
8,591,994
1,911,258
11,751,532
18,801,011
247,391
7,821,727
320,20
10,371,989
11,241,415
2,041,417
11,531,267
430,330
2,961,612
743,368
3,771,713
1,480,125
967,245
12,751,738
12,911,923
16,361,677
797,31
432,816
1,991,929
4,451,421
2,841,908
1,961,808
18,701,788
1621,73
506,909
14,691,539
266,484
7,001,976
8,641,661
1,193,987
1,891,649
7,401,343
1,505,251
8,871,729
880,655
1,562,897
19,601,629
791,224
597,189
1,221,370
17,611,353
17,761,971
17,501,589
1937,22
1188,96
493,35
3,201,084
1,049,208
8,81
14,361,382
7,881,638
1125,96
8,591,048
749,187
988,664
1,818,966
11,671,070
19,211,852
6,981,032
1001,38
8,251,708
385,180
1,667,779
759,12
1,706,486
730,830
586,214
1275,28
162,579
4,881,433
14,751,740
28,813
1298,79
1,555,591
1,867,928
5,691,508
5,781,516
14,931,993
1,611,869
786,538
1,520,837
5,171,184
719,224
8,451,489
5,811,718
8,731,294
263,821
4,881,939
1,601,010
8,851,304
17,721,268
1,105,901
1284,62
11,571,130
150,721
1,482,470
1,061,286
244,517
1,960,581
6,171,291
1,310,262
755,287
64,868
17,031,864
18,531,775
915,84
1,917,624
1,428,536
248,53
1,621,144
15,541,471
7,521,459
2,261,818
12,491,759
2,161,231
872,242
16,291,743
1,211,494
1,961,068
343,382
291,668
1,691,997
13,341,377
195,822
17,411,381
4,631,475
368,367
1,207,269
116,563
16,021,766
1698,31
13,531,226
896,269
3,381,131
1,709,177
11,301,329
9,461,413
6,081,268
5,511,690
14,411,637
6,131,821
788,480
10,661,165
342,81
17,641,460
18,141,490
18,981,841
10,791,574
1,092,326
1,616,926
496,343
6,811,505
10,031,010
19,341,900
1,961,720
1,798,504
553,336
540,597
14,841,352
1,663,283
17,131,360
1,851,854
1,738,313
422,533
1,167,660
862,28
1,661,668
97,822
18,311,333
10,821,768
1,567,591
1,459,155
108,296
18,231,667
12,701,465
1,381,559
893,50
1,291,960
620,883
16,411,910
1,380,395
1,815,516
1,429,153
8,251,532
1,134,518
1,867,359
1,713,938
1,541,792
791,578
4,441,395
1,038,655
1,437,721
634,108
9,281,682
16,721,791
2,391,300
13,541,719
16,931,095
3,771,255
18,141,151
1,188,290
11,251,750
1,240,879
52,821
4,221,853
352,504
1,720,445
7,091,884
29,822
7,091,499
1,938,855
10,891,441
1,167,607
184,97
388,104
12,061,785
2,911,176
1,736,426
8,101,688
823,464
858,146
12,011,171
10,851
1,646,772
1,400,925
866,931
8,771,757
1,468,160
1,841,382
13,091,376
11,151,205
431,401
1,348,757
9,041,330
16,121,358
1,173,620
19,201,796
11,201,961
944,777
1,622,556
746,956
2,391,961
1,617,406
1,726,598
1,709,588
19,941,461
12,091,245
1,141,010
515,982
18,271,365
17,661,771
1,959,658
2,841,264
12,391,442
1,912,578
1,051,341
12,291,474
257,705
19,591,712
19,811,115
310,19
9,671,878
1,802,159
1,014,230
11,881,400
1,517,533
486,164
12,961,729
15,531,851
16,761,355
139,297
111,45
1,879,233
1,198,267
274,432
13,251,356
19,871,486
1,781,766
2,421,875
821,520
1,568,874
14,772
9,531,278
1505,80
15,911,996
1,677,854
5,581,273
1,594,363
1,907,377
8,251,612
411,496
13,411,237
734,487
1360,98
1148,73
1008,41
18,531,041
14,071,460
466,317
1,206,816
3,291,730
547,445
17,341,690
15,761,104
683,207
1,578,112
1,928,937
9,351,275
797,179
4,401,256
17,391,887
671,581
12,601,233
1,426,593
849,622
1,550,695
10,731,824
470,477
1,016,498
1,208,311
14,511,546
631,688
1,231,436
957,435
8,121,976
16,601,457
107,739
745,80
17,561,292
6,941,727
1995,27
1521,91
1,760,645
670,844
486,807
10,011,365
26,942
1,272,961
12,131,966
11,341,512
1,941,591
260,732
81,620
1,721,687
1,617,404
19,441,878
1,329,606
5,831,198
380,153
7,461,889
115,826
665,983
2,091,788
7,571,624
7,141,551
626,717
1,337,375
569,499
1,887,873
17,991,432
19,541,402
1,059,716
18,401,441
13,781,238
2,981,034
13,161,675
871,211
6,971,598
17,061,802
1,819,854
12,391,664
16,131,070
12,481,725
1,693,179
3,041,181
7,761,888
13,221,571
1,479,161
19,221,245
991,126
195,781
15,101,113
553,937
15,151,320
810,438
691,730
3,281,512
1,902,842
346,636
1,826,105
456,755
18,441,605
2,201,832
1,495,288
3,141,075
18,361,484
279,499
14,231,490
11,771,097
8,111,382
15,781,400
4,281,180
1,363,643
618,457
9,681,161
2,201,918
9,881,864
5,391,474
19,721,243
822,172
325,489
380,627
15,961,420
14,281,877
861,270
12,361,946
1,621,482
13,131,728
1,178,552
1,071,900
6,991,415
185,3
1,131,048
945,479
1,055,537
6,201,077
329,389
3,271,484
931,223
8,721,279
16,831,519
24,6
1,839,439
15,991,499
1,003,735
17,291,870
986,173
238,249
5,011,861
1106,93
9,731,191
7,051,067
16,161,996
172,169
859,977
15,951,662
1,304,651
1,489,214
1,352,389
19,001,703
6,291,238
1,681,326
11,291,258
1,438,370
1,395,904
13,781,478
970,559
1,326,637
1,569,408
1,587,938
16,891,883
10,221,029
1,361,278
10,021,105
15,041,181
1,817,560
1,529,100
4,251,237
19,751,627
13,971,593
1524,80
12,541,076
813,317
62,749
1,538,237
201,543
3,411,379
6,871,014
963,453
18,751,412
19,241,511
550,271
10,611,216
7,451,301
11,931,386
14,791,757
19,891,781
668,768
671,739
285,184
481,4
14,921,261
1,088,133
18,681,007
7,801,700
431,715
482,884
652,316
170,150
13,591,661
17,961,573
19,991,072
14,991,628
950,658
12,611,675
1062,93
717,224
1,627,366
16,461,097
15,411,418
465,582
123,176
865,714
14,101,208
1,848,143
1,161,154
2,711,841
12,031,262
1,989,186
8,071,505
596,572
830,253
221,491
1,412,350
1,266,104
8,511,190
1,147,824
17,641,007
16,861,610
16,921,104
9,621,035
15,441,325
957,538
7,311,729
804,419
6,901,089
1,244,284
15,801,712
204,671
1,673,934
19,591,932
570,477
4,891,948
1,989,715
10,041,551
8,991,759
15,921,063
16,231,501
787,797
14,251,196
1,225,694
384,253
13,861,510
3,901,557
6,571,598
1,543,933
3,511,653
16,751,447
19,231,548
941,634
8,371,361
1,235,265
5,401,115
16,191,185
551,307
9,691,787
172,447
569,441
601,855
473,596
661,597
492,993
733,918
695,514
919,220
15,601,593
17,031,085
936,775
15,441,710
976,716
8,731,179
8,111,253
1,476,926
858,619
990,895
5,941,461
463,339
1,418,324
10,711,461
1,546,835
832,198
16,665
2,151,373
1369,19
329,232
52,464
29,683
1,491,492
70,626
7,891,998
9,451,282
155,925
19,991,732
10,721,970
495,77
16,281,739
1,901,605
19,991,151
1,849,747
1,107,342
608,545
14,641,293
10,581,781
14,241,036
355,950
949,707
1,935,180
4,131,771
1,175,877
755,715
747,545
1,106,801
45,657
1,056,113
4,071,264
1,676,670
783,864
1,042,819
1770,9
1,514,480
9,371,442
171,347
348,185
1,549,966
3,691,868
2,961,808
1,204,168
1,170,293
338,419
35,269
15,191,250
741,188
892,398
15,021,208
409,972
13,161,872
13,881,648
1,003,848
4,591,889
10,401,214
171,399
9,761,868
19,421,519
1,641,648
1,284,222
19,481,729
15,601,486
856,195
1,317,123
15,711,560
1,911,859
16,401,889
1,906,951
15,921,918
12,431,716
921,066
5,291,605
10,341,364
564,684
5,161,502
1,925,537
12,321,714
8,051,786
716,746
3,151,820
1,947,652
19,631,088
170,245
1,756,297
385,155
719,957
18,491,262
10,941,526
8,621,461
14,591,698
1,505,922
3,641,789
1,668,861
10,011,263
2,321,994
5,841,586
18,691,190
841,437
18,701,618
816,71
679,6
2,321,769
1,613,577
1,570,310
691,153
9,311,046
606,917
15,271,673
788,913
5,431,925
1,292,109
312,582
1,257,737
342,858
18,241,757
13,201,577
475,615
19,591,644
15,911,253
15,081,104
4,251,815
555,735
1,832,466
7,311,445
6,711,844
3,661,079
1,401,483
1,111,395
15,581,887
9,271,185
18,491,822
147,25
1,598,251
13,201,309
1,501,825
15,871,860
560,882
1,800,822
14,881,084
5,171,814
971,235
18,201,147
3,361,273
4,271,760
10,591,166
6,601,916
1,953,742
985,910
1,755,157
9,301,576
952,77
9,261,114
18,581,359
1134,13
4,201,461
4,571,774
10,381,638
18,241,244
1,385,681
248,312
17,431,070
12,331,364
725,807
1,160,783
517,168
15,291,785
1,125,221
193,75
1,681,398
13,481,732
1,551,420
899,249
1,339,932
1,831,252
1,879,430
630,972
15,501,877
453,429
13,541,932
18,071,506
9,421,903
1,184,752
146,380
774,807
191,652
15,861,368
489,798
15,331,980
1,441,480
834,707
18,831,222
540,486
5,431,940
1,986,277
1,341,397
985,56
14,314
15,121,642
1,796,648
2,361,023
1,468,977
243,587
5,411,562
2,501,768
6,651,366
501,598
1,993,313
9,651,825
4,891,686
181,720
13,221,825
1,475,720
10,551,134
1,959,857
15,121,318
1,051,844
1,197,832
1,465,374
15,821,610
736,22
2,401,827
921,910
11,551,871
833,710
1,807,300
4,281,445
19,871,808
4,631,171
5,191,968
3,111,596
351,141
1,132,713
367,749
1,775,691
2,711,678
721,177
620,679
1,423,149
2,691,926
18,761,452
5,571,281
1,974,695
484,599
135,26
1,857,901
1,749,418
271,917
419,153
173,278
12,741,608
10,441,654
1,209,563
